DrugBank_id,Uniprot_id
DB06154,Q02153
DB08931,Q02153
DB13501,P47989
DB00441,P31350
DB00631,P31350
DB01005,P31350
DB06433,P31350
DB00441,Q7LG56
DB00631,Q7LG56
DB01005,Q7LG56
DB06433,Q7LG56
DB00441,P09884
DB00987,P09884
DB00441,Q9NRF9
DB00631,Q9NRF9
DB00987,Q9NRF9
DB00441,P56282
DB00631,P56282
DB00987,P56282
DB00441,P49642
DB00631,P49642
DB00987,P49642
DB00441,Q14181
DB00631,Q14181
DB00987,Q14181
DB00441,Q07864
DB00631,Q07864
DB00987,Q07864
DB04878,P10253
DB05812,P10275
DB00503,P20815
DB00503,P24462
DB00503,P08684
DB00514,Q12879
DB00915,Q12879
DB01173,Q12879
DB01221,Q12879
DB00536,Q9NSA2
DB11640,Q9NSA2
DB00536,P51787
DB04953,P51787
DB06637,P51787
DB11640,P51787
DB00536,Q14721
DB11640,Q14721
DB00536,Q16322
DB11640,Q16322
DB00536,Q96PR1
DB11640,Q96PR1
DB00536,Q9H252
DB06637,Q9H252
DB11640,Q9H252
DB00536,Q96RP8
DB11640,Q96RP8
DB00536,O43525
DB06637,O43525
DB11640,O43525
DB00536,P22001
DB11640,P22001
DB00536,O43526
DB06637,O43526
DB11640,O43526
DB00536,P48547
DB11640,P48547
DB00536,Q9NZV8
DB11640,Q9NZV8
DB00536,Q92953
DB11640,Q92953
DB00536,P22460
DB11640,P22460
DB00536,Q14003
DB11640,Q14003
DB00536,P22459
DB11640,P22459
DB00536,O95259
DB06637,O95259
DB11640,O95259
DB00536,P16389
DB11640,P16389
DB00536,P56696
DB06637,P56696
DB11640,P56696
DB00536,Q9UK17
DB11640,Q9UK17
DB00536,Q9NR82
DB06637,Q9NR82
DB11640,Q9NR82
DB00536,Q09470
DB00536,P17658
DB11640,P17658
DB00543,P21918
DB01100,P21918
DB04868,P11274
DB06616,P11274
DB12323,P11274
DB12597,P11274
DB00657,P30926
DB01116,P30926
DB00657,P32297
DB01116,P32297
DB00915,O60391
DB00949,O60391
DB01221,O60391
DB00915,Q05586
DB00949,Q05586
DB01221,Q05586
DB00915,Q14957
DB00949,Q14957
DB01173,Q14957
DB00949,Q8TCU5
DB00915,Q13224
DB01173,Q13224
DB01221,Q13224
DB00915,O15399
DB00949,O15399
DB01221,O15399
DB00806,Q14123
DB00975,Q14123
DB00806,O60658
DB00975,O60658
DB01148,O60658
DB00806,Q01064
DB00975,Q01064
DB00806,Q9NP56
DB00975,Q9NP56
DB01148,Q9NP56
DB00806,Q9Y233
DB05266,Q9Y233
DB00806,P18545
DB00975,P18545
DB00806,P35913
DB00975,P35913
DB00806,O95263
DB00975,O95263
DB01148,O95263
DB00806,O76083
DB00975,O76083
DB00806,P54750
DB00975,P54750
DB00806,Q13946
DB00975,Q13946
DB01148,Q13946
DB00806,P16499
DB00975,P16499
DB00806,O00408
DB00975,O00408
DB00806,Q13956
DB00975,Q13956
DB00922,P19429
DB00928,Q9Y6K1
DB00975,Q99808
DB00993,Q06203
DB01074,P42345
DB01191,Q13639
DB04832,Q13639
DB06288,Q13639
DB01119,Q15842
DB05812,P31213
DB05812,P18405
DB12319,Q96S37
DB01191,O95264
DB04832,O95264
DB04885,O95264
DB06288,O95264
DB09290,O95264
DB11699,O95264
DB01191,Q70Z44
DB04832,Q70Z44
DB06288,Q70Z44
DB09290,Q70Z44
DB11699,Q70Z44
DB01191,Q8WXA8
DB04832,Q8WXA8
DB06288,Q8WXA8
DB09290,Q8WXA8
DB11699,Q8WXA8
DB01191,P50406
DB04832,P50406
DB06288,P50406
DB01191,P34969
DB04832,P34969
DB01191,P28566
DB04832,P28566
DB06288,P28566
DB01191,A5X5Y0
DB04832,A5X5Y0
DB06288,A5X5Y0
DB09290,A5X5Y0
DB11699,A5X5Y0
DB01191,P47898
DB04832,P47898
DB06288,P47898
DB05294,P29317
DB05294,P12931
DB06589,P06239
DB01254,P08631
DB01254,Q9H3Y6
DB05294,P04626
DB05424,P04626
DB11828,P04626
DB11963,P04626
DB04849,P16234
DB04879,P16234
DB05928,P16234
DB12307,P16234
DB12874,P16234
DB15233,P16234
DB04879,P07333
DB06589,P07333
DB12874,P07333
DB15688,O60894
DB01419,P41222
DB02329,P80365
DB04786,P05230
DB11758,P51681
DB04851,P08183
DB04878,P14410
DB04960,P49354
DB11830,Q9BY41
DB11830,Q96DB2
DB05239,P36507
DB05294,P29320
DB05294,P21860
DB05294,P21709
DB05294,Q15303
DB05424,Q15303
DB11828,Q15303
DB11963,Q15303
DB05294,P54760
DB05294,P29323
DB05294,P54756
